wavelength(AA)   flux(mJy)   unc(mJy)   resolution(km/s)
5462.000     1.1872   0.1153   206.4
5463.000     1.2356   0.1153   206.4
5464.000     1.3748   0.1154   206.3
5465.000     1.2996   0.1155   206.2
5466.000     1.1199   0.1156   206.2
5467.000     1.1641   0.1157   206.1
5468.000     1.2960   0.1158   206.0
5469.000     1.1359   0.1158   206.0
5470.000     0.9244   0.1158   205.9
5471.000     1.1059   0.1155   205.9
5472.000     1.0933   0.1152   205.8
5473.000     1.1636   0.1147   205.7
5474.000     1.0561   0.1141   205.7
5475.000     1.0276   0.1135   205.6
5476.000     1.0720   0.1130   205.5
5477.000     0.9978   0.1126   205.5
5478.000     1.2957   0.1124   205.4
5479.000     1.2032   0.1124   205.3
5480.000     0.9245   0.1126   205.3
5481.000     1.1139   0.1130   205.2
5482.000     1.2651   0.1135   205.2
5483.000     1.2158   0.1140   205.1
5484.000     1.1709   0.1146   205.0
5485.000     1.1478   0.1151   205.0
5486.000     1.0725   0.1156   204.9
5487.000     1.0153   0.1159   204.8
5488.000     1.1719   0.1162   204.8
5489.000     1.1965   0.1164   204.7
5490.000     1.2409   0.1166   204.6
5491.000     1.2614   0.1167   204.6
5492.000     1.2458   0.1169   204.5
5493.000     0.9775   0.1170   204.4
5494.000     1.0051   0.1171   204.4
5495.000     1.2829   0.1172   204.3
5496.000     1.2802   0.1172   204.3
5497.000     1.0750   0.1172   204.2
5498.000     1.0748   0.1172   204.1
5499.000     1.1848   0.1172   204.1
5500.000     0.9989   0.1171   204.0
5501.000     1.0859   0.1170   203.9
5502.000     1.2268   0.1168   203.9
5503.000     1.1277   0.1166   203.8
5504.000     1.2301   0.1165   203.7
5505.000     1.0130   0.1163   203.7
5506.000     1.2585   0.1161   203.6
5507.000     1.3925   0.1160   203.6
5508.000     1.0773   0.1159   203.5
5509.000     1.2392   0.1158   203.4
5510.000     1.0159   0.1157   203.4
5511.000     1.0489   0.1157   203.3
5512.000     1.2385   0.1157   203.2
5513.000     1.1521   0.1157   203.2
5514.000     1.0881   0.1159   203.1
5515.000     1.1791   0.1162   203.0
5516.000     1.0091   0.1167   203.0
5517.000     1.1678   0.1174   202.9
5518.000     1.3387   0.1181   202.8
5519.000     1.2791   0.1188   202.8
5520.000     1.2928   0.1194   202.7
5521.000     1.2355   0.1198   202.7
5522.000     1.3886   0.1200   202.6
5523.000     1.0147   0.1200   202.5
5524.000     1.0807   0.1198   202.5
5525.000     1.2988   0.1194   202.4
5526.000     1.4072   0.1188   202.3
5527.000     1.2642   0.1183   202.3
5528.000     1.0987   0.1179   202.2
5529.000     1.1589   0.1176   202.1
5530.000     1.1835   0.1175   202.1
5531.000     1.3997   0.1176   202.0
5532.000     1.3795   0.1178   202.0
5533.000     1.3295   0.1181   201.9
5534.000     1.3301   0.1185   201.8
5535.000     0.9682   0.1189   201.8
5536.000     1.0536   0.1192   201.7
5537.000     1.1969   0.1196   201.6
5538.000     1.1811   0.1200   201.6
5539.000     1.3852   0.1204   201.5
5540.000     1.3190   0.1207   201.4
5541.000     1.2617   0.1210   201.4
5542.000     1.2804   0.1213   201.3
5543.000     1.2103   0.1215   201.2
5544.000     1.2074   0.1216   201.2
5545.000     1.1519   0.1218   201.1
5546.000     1.2328   0.1219   201.1
5547.000     1.0789   0.1221   201.0
5548.000     1.3564   0.1223   200.9
5549.000     1.1934   0.1226   200.9
5550.000     1.2333   0.1228   200.8
5551.000     1.1433   0.1230   200.7
5552.000     1.0699   0.1230   200.7
5553.000     1.2055   0.1230   200.6
5554.000     1.2177   0.1229   200.5
5555.000     1.1947   0.1227   200.5
5556.000     1.4141   0.1226   200.4
5557.000     1.2028   0.1224   200.4
5558.000     1.1383   0.1223   200.3
5559.000     1.3059   0.1221   200.2
5560.000     1.2291   0.1220   200.2
5561.000     1.4614   0.1217   200.1
5562.000     1.2357   0.1215   200.0
5563.000     1.1392   0.1212   200.0
5564.000     1.2770   0.1209   199.9
5565.000     1.2726   0.1205   199.8
5566.000     0.8713   0.1203   199.8
5567.000     1.2511   0.1200   199.7
5568.000     1.0535   0.1199   199.6
5569.000     1.2173   0.1198   199.6
5570.000     1.2400   0.1198   199.5
5571.000     1.2714   0.1198   199.5
5572.000     1.1064   0.1199   199.4
5573.000     1.4216   0.1201   199.3
5574.000     1.0918   0.1204   199.3
5575.000     0.9395   0.1206   199.2
5576.000     1.2785   0.1210   199.1
5577.000     1.1107   0.1213   199.1
5578.000     1.0680   0.1216   199.0
5579.000     1.3110   0.1218   198.9
5580.000     1.1058   0.1219   198.9
5581.000     1.2666   0.1219   198.8
5582.000     1.1895   0.1217   198.8
5583.000     1.0916   0.1212   198.7
5584.000     1.0133   0.1206   198.6
5585.000     0.9131   0.1199   198.6
5586.000     1.3939   0.1190   198.5
5587.000     1.3059   0.1181   198.4
5588.000     1.2098   0.1174   198.4
5589.000     1.2063   0.1168   198.3
5590.000     1.2331   0.1165   198.2
5591.000     1.1971   0.1165   198.2
5592.000     1.2957   0.1167   198.1
5593.000     1.1609   0.1171   198.0
5594.000     1.2825   0.1176   198.0
5595.000     0.9929   0.1181   197.9
5596.000     1.0789   0.1185   197.9
5597.000     1.1631   0.1188   197.8
5598.000     1.3201   0.1189   197.7
5599.000     1.3033   0.1189   197.7
5600.000     1.0926   0.1189   197.6
5601.000     1.1352   0.1190   197.5
5602.000     1.1068   0.1192   197.5
5603.000     1.1554   0.1195   197.4
5604.000     1.2169   0.1202   197.3
5605.000     1.2403   0.1210   197.3
5606.000     1.2198   0.1220   197.2
5607.000     1.4539   0.1230   197.2
5608.000     1.1642   0.1239   197.1
5609.000     1.4764   0.1246   197.0
5610.000     1.1284   0.1250   197.0
5611.000     1.1587   0.1251   196.9
5612.000     1.2719   0.1249   196.8
5613.000     1.5963   0.1245   196.8
5614.000     1.1941   0.1238   196.7
5615.000     1.2504   0.1231   196.6
5616.000     0.8414   0.1224   196.6
5617.000     1.2450   0.1219   196.5
5618.000     1.1673   0.1216   196.4
5619.000     1.2944   0.1215   196.4
5620.000     1.3814   0.1216   196.3
5621.000     1.1316   0.1217   196.3
5622.000     1.0370   0.1218   196.2
5623.000     1.4504   0.1220   196.1
5624.000     1.1758   0.1221   196.1
5625.000     1.2474   0.1222   196.0
5626.000     1.1338   0.1224   195.9
5627.000     1.1995   0.1227   195.9
5628.000     1.1125   0.1231   195.8
5629.000     1.2642   0.1236   195.7
5630.000     1.2221   0.1242   195.7
5631.000     1.3957   0.1247   195.6
5632.000     1.0585   0.1250   195.6
5633.000     1.3138   0.1252   195.5
5634.000     1.1595   0.1252   195.4
5635.000     1.2039   0.1249   195.4
5636.000     1.1738   0.1246   195.3
5637.000     1.4924   0.1242   195.2
5638.000     1.3340   0.1239   195.2
5639.000     1.3220   0.1235   195.1
5640.000     1.3643   0.1233   195.0
5641.000     1.2090   0.1232   195.0
5642.000     1.1352   0.1232   194.9
5643.000     1.2118   0.1234   194.8
5644.000     1.1415   0.1236   194.8
5645.000     1.2043   0.1238   194.7
5646.000     1.3130   0.1242   194.7
5647.000     1.4664   0.1245   194.6
5648.000     1.3070   0.1248   194.5
5649.000     1.4036   0.1250   194.5
5650.000     1.3940   0.1251   194.4
5651.000     1.3493   0.1252   194.3
5652.000     1.3333   0.1252   194.3
5653.000     1.0178   0.1249   194.2
5654.000     1.2378   0.1246   194.1
5655.000     1.1675   0.1241   194.1
5656.000     1.4490   0.1234   194.0
5657.000     1.2028   0.1227   194.0
5658.000     1.4406   0.1221   193.9
5659.000     0.9805   0.1216   193.8
5660.000     1.3109   0.1213   193.8
5661.000     1.3155   0.1212   193.7
5662.000     1.2342   0.1213   193.6
5663.000     1.1885   0.1217   193.6
5664.000     1.3058   0.1222   193.5
5665.000     1.4346   0.1227   193.4
5666.000     1.1892   0.1232   193.4
5667.000     1.2151   0.1238   193.3
5668.000     1.2734   0.1242   193.2
5669.000     1.1943   0.1247   193.2
5670.000     1.3788   0.1251   193.1
5671.000     1.4345   0.1256   193.1
5672.000     1.3585   0.1261   193.0
5673.000     1.3070   0.1267   192.9
5674.000     1.3349   0.1272   192.9
5675.000     1.0354   0.1276   192.8
5676.000     1.1669   0.1279   192.7
5677.000     1.0665   0.1281   192.7
5678.000     1.4265   0.1281   192.6
5679.000     1.1204   0.1279   192.5
5680.000     1.3001   0.1276   192.5
5681.000     1.4894   0.1272   192.4
5682.000     1.3777   0.1267   192.4
5683.000     1.2778   0.1262   192.3
5684.000     1.1683   0.1258   192.2
5685.000     1.1742   0.1254   192.2
5686.000     1.2828   0.1252   192.1
5687.000     1.3020   0.1251   192.0
5688.000     1.2320   0.1252   192.0
5689.000     1.1261   0.1254   191.9
5690.000     1.0519   0.1258   191.8
5691.000     1.2181   0.1263   191.8
5692.000     1.1803   0.1268   191.7
5693.000     1.4309   0.1273   191.6
5694.000     1.4655   0.1277   191.6
5695.000     1.0237   0.1279   191.5
5696.000     1.2994   0.1279   191.5
5697.000     1.6071   0.1278   191.4
5698.000     1.4588   0.1275   191.3
5699.000     1.2201   0.1270   191.3
5700.000     1.3923   0.1265   191.2
5701.000     1.2818   0.1260   191.1
5702.000     1.2868   0.1255   191.1
5703.000     1.4728   0.1250   191.0
5704.000     1.1406   0.1245   190.9
5705.000     1.3819   0.1240   190.9
5706.000     1.1481   0.1235   190.8
5707.000     1.2940   0.1230   190.8
5708.000     1.2127   0.1225   190.7
5709.000     1.2298   0.1221   190.6
5710.000     1.5288   0.1220   190.6
5711.000     1.1324   0.1221   190.5
5712.000     1.4282   0.1224   190.4
5713.000     1.1402   0.1231   190.4
5714.000     1.2435   0.1240   190.3
5715.000     1.4097   0.1251   190.2
5716.000     1.2706   0.1262   190.2
5717.000     1.3088   0.1272   190.1
5718.000     1.2762   0.1282   190.0
5719.000     1.2921   0.1291   190.0
5720.000     1.4155   0.1299   189.9
5721.000     1.3993   0.1305   189.9
5722.000     1.2223   0.1309   189.8
5723.000     1.4140   0.1313   189.7
5724.000     1.3660   0.1314   189.7
5725.000     1.4253   0.1315   189.6
5726.000     1.4006   0.1314   189.5
5727.000     1.3950   0.1312   189.5
5728.000     1.2454   0.1310   189.4
5729.000     1.2120   0.1309   189.3
5730.000     1.4047   0.1308   189.3
5731.000     1.3391   0.1307   189.2
5732.000     1.4693   0.1308   189.2
5733.000     1.4398   0.1309   189.1
5734.000     1.5220   0.1311   189.0
5735.000     1.2781   0.1313   189.0
5736.000     1.2832   0.1315   188.9
5737.000     1.3297   0.1316   188.8
5738.000     1.2113   0.1317   188.8
5739.000     1.4178   0.1318   188.7
5740.000     1.6111   0.1318   188.6
5741.000     1.4273   0.1318   188.6
5742.000     1.4983   0.1318   188.5
5743.000     1.2460   0.1318   188.4
5744.000     1.4428   0.1318   188.4
5745.000     1.3641   0.1318   188.3
5746.000     1.1268   0.1318   188.3
5747.000     1.3044   0.1317   188.2
5748.000     1.2221   0.1316   188.1
5749.000     1.5165   0.1314   188.1
5750.000     1.0121   0.1312   188.0
5751.000     1.2337   0.1309   187.9
5752.000     1.3316   0.1306   187.9
5753.000     1.1887   0.1304   187.8
5754.000     1.4777   0.1302   187.7
5755.000     1.4563   0.1302   187.7
5756.000     1.3658   0.1303   187.6
5757.000     1.2437   0.1305   187.6
5758.000     1.1846   0.1308   187.5
5759.000     1.3603   0.1309   187.4
5760.000     1.3805   0.1310   187.4
5761.000     1.3591   0.1311   187.3
5762.000     1.2989   0.1311   187.2
5763.000     1.3732   0.1312   187.2
5764.000     1.2634   0.1314   187.1
5765.000     1.3737   0.1317   187.0
5766.000     1.3706   0.1321   187.0
5767.000     1.3062   0.1325   186.9
5768.000     1.2085   0.1330   186.8
5769.000     1.2592   0.1333   186.8
5770.000     1.3989   0.1335   186.7
5771.000     1.4066   0.1335   186.7
5772.000     1.4632   0.1334   186.6
5773.000     1.3194   0.1332   186.5
5774.000     1.2314   0.1330   186.5
5775.000     1.1660   0.1327   186.4
5776.000     1.3416   0.1323   186.3
5777.000     1.6313   0.1319   186.3
5778.000     1.2176   0.1314   186.2
5779.000     1.3460   0.1308   186.1
5780.000     1.2019   0.1300   186.1
5781.000     1.4546   0.1293   186.0
5782.000     1.2770   0.1285   186.0
5783.000     1.5337   0.1280   185.9
5784.000     1.3127   0.1276   185.8
5785.000     1.2469   0.1275   185.8
5786.000     1.2584   0.1277   185.7
5787.000     1.0296   0.1281   185.6
5788.000     1.2786   0.1287   185.6
5789.000     1.4045   0.1294   185.5
5790.000     1.2427   0.1300   185.4
5791.000     1.3273   0.1307   185.4
5792.000     1.2100   0.1312   185.3
5793.000     1.3101   0.1317   185.2
5794.000     1.2419   0.1322   185.2
5795.000     1.4608   0.1325   185.1
5796.000     1.2053   0.1329   185.1
5797.000     1.3120   0.1332   185.0
5798.000     1.7678   0.1335   184.9
5799.000     1.3854   0.1338   184.9
5800.000     1.3380   0.1341   184.8
5801.000     1.2588   0.1344   184.7
5802.000     1.3130   0.1346   184.7
5803.000     1.3278   0.1348   184.6
5804.000     1.5392   0.1348   184.5
5805.000     1.5247   0.1348   184.5
5806.000     1.5651   0.1347   184.4
5807.000     1.1603   0.1346   184.4
5808.000     1.3210   0.1346   184.3
5809.000     1.1179   0.1347   184.2
5810.000     1.7499   0.1348   184.2
5811.000     1.4128   0.1350   184.1
5812.000     1.2289   0.1351   184.0
5813.000     1.2804   0.1353   184.0
5814.000     1.5074   0.1353   183.9
5815.000     0.8233   0.1354   183.8
5816.000     1.1989   0.1355   183.8
5817.000     1.2441   0.1356   183.7
5818.000     1.0879   0.1358   183.6
5819.000     1.4698   0.1361   183.6
5820.000     1.2401   0.1365   183.5
5821.000     1.3209   0.1369   183.5
5822.000     1.4907   0.1372   183.4
5823.000     1.4101   0.1375   183.3
5824.000     1.5342   0.1377   183.3
5825.000     1.6654   0.1379   183.2
5826.000     1.4202   0.1380   183.1
5827.000     1.3913   0.1381   183.1
5828.000     1.5725   0.1382   183.0
5829.000     1.0339   0.1382   182.9
5830.000     1.2859   0.1382   182.9
5831.000     1.3982   0.1382   182.8
5832.000     1.1284   0.1381   182.8
5833.000     1.4492   0.1380   182.7
5834.000     1.5465   0.1379   182.6
5835.000     1.3152   0.1379   182.6
5836.000     1.2005   0.1378   182.5
5837.000     1.3507   0.1378   182.4
5838.000     1.3706   0.1378   182.4
5839.000     1.1998   0.1379   182.3
5840.000     1.0954   0.1381   182.2
5841.000     1.2191   0.1382   182.2
5842.000     1.0887   0.1383   182.1
5843.000     1.2990   0.1384   182.0
5844.000     1.4502   0.1383   182.0
5845.000     1.5321   0.1382   181.9
5846.000     1.6102   0.1380   181.9
5847.000     1.2894   0.1376   181.8
5848.000     1.1948   0.1373   181.7
5849.000     1.3670   0.1368   181.7
5850.000     1.0615   0.1364   181.6
5851.000     1.2407   0.1359   181.5
5852.000     1.4490   0.1354   181.5
5853.000     1.1680   0.1348   181.4
5854.000     1.1969   0.1343   181.3
5855.000     1.2501   0.1338   181.3
5856.000     1.2698   0.1333   181.2
5857.000     1.6795   0.1330   181.2
5858.000     1.2496   0.1328   181.1
5859.000     1.3542   0.1328   181.0
5860.000     1.3421   0.1330   181.0
5861.000     1.2834   0.1333   180.9
5862.000     1.2828   0.1337   180.8
5863.000     1.4449   0.1342   180.8
5864.000     1.4209   0.1347   180.7
5865.000     1.3153   0.1351   180.6
5866.000     1.5431   0.1355   180.6
5867.000     1.4031   0.1359   180.5
5868.000     1.2929   0.1362   180.4
5869.000     1.4589   0.1366   180.4
5870.000     1.4900   0.1369   180.3
5871.000     1.2444   0.1372   180.3
5872.000     1.3841   0.1375   180.2
5873.000     1.3630   0.1377   180.1
5874.000     1.7340   0.1378   180.1
5875.000     1.4825   0.1377   180.0
5876.000     1.3224   0.1376   179.9
5877.000     1.4314   0.1374   179.9
5878.000     1.6518   0.1370   179.8
5879.000     1.2030   0.1367   179.7
5880.000     1.4813   0.1362   179.7
5881.000     1.4987   0.1358   179.6
5882.000     1.3024   0.1353   179.6
5883.000     1.4955   0.1347   179.5
5884.000     1.2972   0.1340   179.4
5885.000     1.3821   0.1329   179.4
5886.000     1.4237   0.1314   179.3
5887.000     1.2460   0.1295   179.2
5888.000     1.2612   0.1273   179.2
5889.000     1.3650   0.1250   179.1
5890.000     1.1806   0.1227   179.0
5891.000     1.0109   0.1208   179.0
5892.000     1.0421   0.1194   178.9
5893.000     1.3618   0.1185   178.8
5894.000     1.1915   0.1183   178.8
5895.000     1.2874   0.1187   178.7
5896.000     1.1496   0.1195   178.7
5897.000     0.9482   0.1206   178.6
5898.000     1.1481   0.1222   178.5
5899.000     1.0904   0.1240   178.5
5900.000     1.2648   0.1260   178.4
5901.000     1.4110   0.1282   178.3
5902.000     1.2900   0.1302   178.3
5903.000     1.1154   0.1320   178.2
5904.000     1.2720   0.1334   178.1
5905.000     1.3716   0.1345   178.1
5906.000     1.3604   0.1354   178.0
5907.000     1.2903   0.1359   178.0
5908.000     1.3324   0.1363   177.9
5909.000     1.5050   0.1366   177.8
5910.000     1.4113   0.1367   177.8
5911.000     1.2054   0.1367   177.7
5912.000     1.1895   0.1366   177.6
5913.000     1.4349   0.1364   177.6
5914.000     1.4747   0.1361   177.5
5915.000     1.5289   0.1358   177.4
5916.000     1.4037   0.1356   177.4
5917.000     1.4173   0.1356   177.3
5918.000     1.3981   0.1357   177.2
5919.000     1.3198   0.1359   177.2
5920.000     1.1987   0.1362   177.1
5921.000     1.4801   0.1365   177.1
5922.000     1.3064   0.1369   177.0
5923.000     1.5311   0.1372   176.9
5924.000     1.3261   0.1375   176.9
5925.000     1.2317   0.1377   176.8
5926.000     1.4328   0.1378   176.7
5927.000     1.3620   0.1378   176.7
5928.000     1.2274   0.1378   176.6
5929.000     1.1301   0.1377   176.5
5930.000     1.4382   0.1376   176.5
5931.000     1.3000   0.1376   176.4
5932.000     1.4263   0.1376   176.4
5933.000     1.4150   0.1376   176.3
5934.000     1.4618   0.1377   176.2
5935.000     1.3597   0.1378   176.2
5936.000     1.4180   0.1380   176.1
5937.000     1.2792   0.1381   176.0
5938.000     1.5828   0.1382   176.0
5939.000     1.3260   0.1383   175.9
5940.000     1.5546   0.1383   175.8
5941.000     1.4115   0.1384   175.8
5942.000     1.4931   0.1383   175.7
5943.000     1.6086   0.1383   175.6
5944.000     1.2903   0.1384   175.6
5945.000     1.5229   0.1384   175.5
5946.000     1.3243   0.1384   175.5
5947.000     1.4466   0.1384   175.4
5948.000     1.3577   0.1383   175.3
5949.000     1.4256   0.1382   175.3
5950.000     1.2206   0.1381   175.2
5951.000     1.4726   0.1380   175.1
5952.000     1.2671   0.1379   175.1
5953.000     1.4446   0.1379   175.0
5954.000     1.3957   0.1379   174.9
5955.000     1.3551   0.1380   174.9
5956.000     1.5138   0.1381   174.8
5957.000     1.5603   0.1383   174.8
5958.000     1.6094   0.1386   174.7
5959.000     1.0168   0.1390   174.6
5960.000     1.5644   0.1394   174.6
5961.000     1.4280   0.1399   174.5
5962.000     1.4030   0.1403   174.4
5963.000     1.6900   0.1407   174.4
5964.000     1.6439   0.1410   174.3
5965.000     1.6571   0.1412   174.2
5966.000     1.3619   0.1414   174.2
5967.000     1.5597   0.1415   174.1
5968.000     1.1497   0.1417   174.0
5969.000     1.3006   0.1419   174.0
5970.000     1.3738   0.1420   173.9
5971.000     1.4012   0.1422   173.9
5972.000     1.2923   0.1422   173.8
5973.000     1.6649   0.1422   173.7
5974.000     1.4257   0.1420   173.7
5975.000     1.2722   0.1417   173.6
5976.000     1.2535   0.1413   173.5
5977.000     1.4461   0.1409   173.5
5978.000     1.3717   0.1406   173.4
5979.000     1.4866   0.1403   173.3
5980.000     1.3348   0.1401   173.3
5981.000     1.4923   0.1400   173.2
5982.000     1.5736   0.1399   173.2
5983.000     1.2988   0.1397   173.1
5984.000     1.5135   0.1396   173.0
5985.000     1.4453   0.1395   173.0
5986.000     1.4600   0.1395   172.9
5987.000     1.2329   0.1396   172.8
5988.000     1.5623   0.1398   172.8
5989.000     1.5812   0.1401   172.7
5990.000     1.1901   0.1404   172.6
5991.000     1.5200   0.1408   172.6
5992.000     2.0135   0.1412   172.5
5993.000     1.4213   0.1415   172.4
5994.000     1.5998   0.1417   172.4
5995.000     1.4486   0.1419   172.3
5996.000     1.2038   0.1419   172.3
5997.000     1.5841   0.1419   172.2
5998.000     1.5463   0.1417   172.1
5999.000     1.4064   0.1416   172.1
6000.000     1.3845   0.1414   172.0
6001.000     1.1527   0.1412   171.9
6002.000     1.6444   0.1411   171.9
6003.000     1.7181   0.1409   171.8
6004.000     1.3563   0.1407   171.7
6005.000     1.4669   0.1405   171.7
6006.000     1.1147   0.1403   171.6
6007.000     1.3479   0.1401   171.6
6008.000     1.4773   0.1400   171.5
6009.000     1.3144   0.1400   171.4
6010.000     1.3174   0.1400   171.4
6011.000     1.3113   0.1402   171.3
6012.000     1.4198   0.1403   171.2
6013.000     1.7097   0.1405   171.2
6014.000     1.5488   0.1406   171.1
6015.000     1.3470   0.1406   171.0
6016.000     1.4870   0.1406   171.0
6017.000     1.6600   0.1405   170.9
6018.000     1.3672   0.1404   170.8
6019.000     1.3670   0.1403   170.8
6020.000     1.5383   0.1402   170.7
6021.000     1.4056   0.1401   170.7
6022.000     1.4868   0.1402   170.6
6023.000     1.4146   0.1404   170.5
6024.000     1.3822   0.1406   170.5
6025.000     1.8409   0.1410   170.4
6026.000     1.2961   0.1415   170.3
6027.000     1.3708   0.1421   170.3
6028.000     1.5161   0.1426   170.2
6029.000     1.5578   0.1432   170.1
6030.000     1.4294   0.1437   170.1
6031.000     1.4028   0.1442   170.0
6032.000     1.4536   0.1447   170.0
6033.000     1.4065   0.1450   169.9
6034.000     1.5352   0.1453   169.8
6035.000     1.2752   0.1456   169.8
6036.000     1.4134   0.1458   169.7
6037.000     1.5283   0.1459   169.6
6038.000     1.5541   0.1459   169.6
6039.000     1.4556   0.1459   169.5
6040.000     1.5748   0.1459   169.4
6041.000     1.1155   0.1459   169.4
6042.000     1.4574   0.1459   169.3
6043.000     1.3496   0.1460   169.2
6044.000     1.5528   0.1462   169.2
6045.000     1.5397   0.1464   169.1
6046.000     1.7231   0.1466   169.1
6047.000     1.3449   0.1469   169.0
6048.000     1.2073   0.1471   168.9
6049.000     1.6791   0.1472   168.9
6050.000     1.4784   0.1473   168.8
6051.000     1.4208   0.1472   168.7
6052.000     1.5870   0.1471   168.7
6053.000     1.1911   0.1469   168.6
6054.000     1.3782   0.1467   168.5
6055.000     1.4718   0.1464   168.5
6056.000     1.4540   0.1461   168.4
6057.000     1.4807   0.1460   168.4
6058.000     1.5697   0.1459   168.3
6059.000     1.4678   0.1458   168.2
6060.000     1.3490   0.1458   168.2
6061.000     1.3581   0.1458   168.1
6062.000     1.5182   0.1457   168.0
6063.000     1.6519   0.1455   168.0
6064.000     1.4274   0.1453   167.9
6065.000     1.7184   0.1452   167.8
6066.000     1.3943   0.1453   167.8
6067.000     1.3959   0.1455   167.7
6068.000     1.4638   0.1459   167.6
6069.000     1.8034   0.1465   167.6
6070.000     1.3780   0.1472   167.5
6071.000     1.3506   0.1478   167.5
6072.000     1.6417   0.1483   167.4
6073.000     1.5772   0.1487   167.3
6074.000     1.3397   0.1488   167.3
6075.000     1.5550   0.1486   167.2
6076.000     1.6258   0.1483   167.1
6077.000     1.4861   0.1479   167.1
6078.000     1.5569   0.1473   167.0
6079.000     1.5049   0.1467   166.9
6080.000     1.4340   0.1462   166.9
6081.000     1.3603   0.1457   166.8
6082.000     1.5035   0.1454   166.8
6083.000     1.4699   0.1451   166.7
6084.000     1.3525   0.1450   166.6
6085.000     1.5293   0.1450   166.6
6086.000     1.3797   0.1450   166.5
6087.000     1.4896   0.1451   166.4
6088.000     1.7245   0.1451   166.4
6089.000     1.3118   0.1451   166.3
6090.000     1.4226   0.1452   166.2
6091.000     1.4987   0.1452   166.2
6092.000     1.3994   0.1453   166.1
6093.000     1.5571   0.1454   166.0
6094.000     1.3505   0.1457   166.0
6095.000     1.2167   0.1460   165.9
6096.000     1.3031   0.1463   165.9
6097.000     1.3918   0.1466   165.8
6098.000     1.6719   0.1467   165.7
6099.000     1.5388   0.1466   165.7
6100.000     1.2097   0.1463   165.6
6101.000     1.2809   0.1459   165.5
6102.000     1.4668   0.1454   165.5
6103.000     1.5719   0.1450   165.4
6104.000     1.3060   0.1447   165.3
6105.000     1.4957   0.1446   165.3
6106.000     1.3619   0.1449   165.2
6107.000     1.4554   0.1453   165.2
6108.000     1.4431   0.1458   165.1
6109.000     1.7066   0.1464   165.0
6110.000     1.3619   0.1469   165.0
6111.000     1.4029   0.1474   164.9
6112.000     1.6676   0.1477   164.8
6113.000     1.4326   0.1480   164.8
6114.000     1.6142   0.1482   164.7
6115.000     1.3103   0.1483   164.6
6116.000     1.3200   0.1482   164.6
6117.000     1.5412   0.1480   164.5
6118.000     1.4812   0.1477   164.4
6119.000     1.2761   0.1472   164.4
6120.000     1.4648   0.1466   164.3
6121.000     1.6658   0.1461   164.3
6122.000     1.5638   0.1456   164.2
6123.000     1.5832   0.1452   164.1
6124.000     1.3426   0.1451   164.1
6125.000     1.5036   0.1452   164.0
6126.000     1.5577   0.1455   163.9
6127.000     1.3532   0.1459   163.9
6128.000     1.5323   0.1462   163.8
6129.000     1.2924   0.1466   163.7
6130.000     1.5092   0.1469   163.7
6131.000     1.4102   0.1471   163.6
6132.000     1.7613   0.1470   163.6
6133.000     1.4044   0.1467   163.5
6134.000     1.4627   0.1461   163.4
6135.000     1.3237   0.1453   163.4
6136.000     1.6413   0.1443   163.3
6137.000     1.2377   0.1433   163.2
6138.000     1.3531   0.1427   163.2
6139.000     1.1677   0.1424   163.1
6140.000     1.2419   0.1426   163.0
6141.000     1.5312   0.1432   163.0
6142.000     1.5094   0.1440   162.9
6143.000     1.5733   0.1450   162.8
6144.000     1.5786   0.1459   162.8
6145.000     1.5243   0.1468   162.7
6146.000     1.4955   0.1474   162.7
6147.000     1.1091   0.1479   162.6
6148.000     1.4816   0.1482   162.5
6149.000     1.3701   0.1483   162.5
6150.000     1.5643   0.1482   162.4
6151.000     1.5771   0.1482   162.3
6152.000     1.4222   0.1481   162.3
6153.000     1.3626   0.1481   162.2
6154.000     1.6383   0.1481   162.1
6155.000     1.4692   0.1480   162.1
6156.000     1.3682   0.1477   162.0
6157.000     1.6139   0.1473   162.0
6158.000     1.5360   0.1466   161.9
6159.000     1.6513   0.1457   161.8
6160.000     1.3747   0.1445   161.8
6161.000     1.4916   0.1432   161.7
6162.000     1.4893   0.1419   161.6
6163.000     1.5046   0.1408   161.6
6164.000     1.1243   0.1401   161.5
6165.000     1.2333   0.1398   161.4
6166.000     1.5374   0.1399   161.4
6167.000     1.6065   0.1402   161.3
6168.000     1.4014   0.1406   161.2
6169.000     1.4100   0.1410   161.2
6170.000     1.6108   0.1414   161.1
6171.000     1.4141   0.1419   161.1
6172.000     1.4898   0.1424   161.0
6173.000     1.2806   0.1430   160.9
6174.000     1.3018   0.1436   160.9
6175.000     1.3296   0.1443   160.8
6176.000     1.5482   0.1450   160.7
6177.000     1.5223   0.1456   160.7
6178.000     1.7449   0.1462   160.6
6179.000     1.4447   0.1467   160.5
6180.000     1.3656   0.1471   160.5
6181.000     1.5312   0.1475   160.4
6182.000     1.6429   0.1478   160.4
6183.000     1.1628   0.1480   160.3
6184.000     1.6973   0.1480   160.2
6185.000     1.3737   0.1478   160.2
6186.000     1.4071   0.1475   160.1
6187.000     1.4447   0.1469   160.0
6188.000     1.3980   0.1461   160.0
6189.000     1.3680   0.1454   159.9
6190.000     1.3056   0.1446   159.8
6191.000     1.6100   0.1441   159.8
6192.000     1.4616   0.1438   159.7
6193.000     1.4796   0.1439   159.6
6194.000     1.4517   0.1443   159.6
6195.000     1.2842   0.1449   159.5
6196.000     1.6426   0.1456   159.5
