wavelength(AA)   flux(mJy)   unc(mJy)   resolution(km/s)
4265.000     0.5703   0.0554   283.0
4266.000     0.6011   0.0555   283.0
4267.000     0.5458   0.0554   282.9
4268.000     0.5565   0.0550   282.8
4269.000     0.5807   0.0544   282.8
4270.000     0.5597   0.0538   282.7
4271.000     0.5739   0.0531   282.7
4272.000     0.3815   0.0525   282.6
4273.000     0.4699   0.0521   282.5
4274.000     0.5117   0.0520   282.5
4275.000     0.4681   0.0521   282.4
4276.000     0.4670   0.0524   282.3
4277.000     0.3928   0.0529   282.3
4278.000     0.5688   0.0534   282.2
4279.000     0.5201   0.0538   282.1
4280.000     0.4911   0.0541   282.1
4281.000     0.6364   0.0543   282.0
4282.000     0.5178   0.0543   282.0
4283.000     0.5884   0.0542   281.9
4284.000     0.5513   0.0539   281.8
4285.000     0.5681   0.0535   281.8
4286.000     0.4215   0.0530   281.7
4287.000     0.5167   0.0525   281.6
4288.000     0.4975   0.0521   281.6
4289.000     0.5519   0.0516   281.5
4290.000     0.6560   0.0513   281.4
4291.000     0.5885   0.0511   281.4
4292.000     0.5745   0.0509   281.3
4293.000     0.4323   0.0507   281.2
4294.000     0.5160   0.0505   281.2
4295.000     0.4899   0.0502   281.1
4296.000     0.4267   0.0497   281.1
4297.000     0.5066   0.0491   281.0
4298.000     0.5315   0.0483   280.9
4299.000     0.4897   0.0474   280.9
4300.000     0.5080   0.0465   280.8
4301.000     0.5186   0.0457   280.7
4302.000     0.4330   0.0450   280.7
4303.000     0.5316   0.0445   280.6
4304.000     0.4031   0.0441   280.5
4305.000     0.4291   0.0439   280.5
4306.000     0.4359   0.0438   280.4
4307.000     0.4197   0.0439   280.4
4308.000     0.3753   0.0442   280.3
4309.000     0.4932   0.0446   280.2
4310.000     0.5370   0.0453   280.2
4311.000     0.4858   0.0463   280.1
4312.000     0.4801   0.0475   280.0
4313.000     0.4714   0.0489   280.0
4314.000     0.5292   0.0506   279.9
4315.000     0.5538   0.0523   279.8
4316.000     0.5302   0.0540   279.8
4317.000     0.5216   0.0555   279.7
4318.000     0.4224   0.0567   279.6
4319.000     0.5735   0.0575   279.6
4320.000     0.6605   0.0579   279.5
4321.000     0.5821   0.0579   279.5
4322.000     0.4861   0.0575   279.4
4323.000     0.5219   0.0569   279.3
4324.000     0.4720   0.0562   279.3
4325.000     0.4409   0.0556   279.2
4326.000     0.6356   0.0552   279.1
4327.000     0.5609   0.0551   279.1
4328.000     0.5786   0.0553   279.0
4329.000     0.4340   0.0557   278.9
4330.000     0.5921   0.0562   278.9
4331.000     0.6053   0.0566   278.8
4332.000     0.6392   0.0568   278.8
4333.000     0.5080   0.0567   278.7
4334.000     0.4911   0.0563   278.6
4335.000     0.6259   0.0555   278.6
4336.000     0.5786   0.0544   278.5
4337.000     0.5141   0.0530   278.4
4338.000     0.5543   0.0515   278.4
4339.000     0.5904   0.0502   278.3
4340.000     0.5067   0.0492   278.2
4341.000     0.5117   0.0486   278.2
4342.000     0.5308   0.0485   278.1
4343.000     0.5261   0.0490   278.0
4344.000     0.4916   0.0499   278.0
4345.000     0.5150   0.0511   277.9
4346.000     0.4251   0.0524   277.9
4347.000     0.4661   0.0537   277.8
4348.000     0.6904   0.0548   277.7
4349.000     0.5228   0.0557   277.7
4350.000     0.4667   0.0563   277.6
4351.000     0.6446   0.0568   277.5
4352.000     0.6740   0.0571   277.5
4353.000     0.4988   0.0574   277.4
4354.000     0.5795   0.0578   277.3
4355.000     0.5689   0.0582   277.3
4356.000     0.5688   0.0587   277.2
4357.000     0.5429   0.0593   277.2
4358.000     0.5496   0.0599   277.1
4359.000     0.5761   0.0606   277.0
